Identifier,B.naive_01,B.naive_02,B.naive_03,B.naive_04,T4.naive_01,T4.naive_02,T4.naive_03,T4.naive_04,T8.naive_01,T8.naive_02,T8.naive_03,T8.naive_04,pDC_01,pDC_02,pDC_03,pDC_04,Neutrophil_01,Neutrophil_02,Neutrophil_03,Neutrophil_04,MO.classical_01,MO.classical_02,MO.classical_03,MO.classical_04
A1BG,25.29298604,22.27779336,21.52144628,21.98734747,25.65168283,27.65328299,28.84795564,28.49106038,27.26275425,27.00763591,26.94781972,28.81839304,29.04215628,29.15855869,28.43773728,28.48258463,25.37248756,25.76835114,27.18574686,28.85412324,27.33048324,27.853469,25.49374993,27.48200755
A2M,30.71938953,30.42161717,31.59552687,30.98236953,29.31187811,29.87597317,33.03939046,32.58461515,31.21720197,30.82312446,31.67151791,32.82651893,32.77858675,33.01273574,32.58454795,31.80424345,28.27390997,29.22940194,30.06727786,29.92691175,31.69544485,32.89516913,31.77442958,33.14474875
A2ML1,22.46022557,22.10818848,21.96411074,21.99446205,26.65649164,25.41277062,25.37305205,25.48600393,23.90681379,25.57986143,22.5948436,20.69406717,24.09127848,20.98665659,22.83481704,22.8083012,22.5256105,21.96002332,22.06931754,22.02374825,26.38332368,22.49114598,24.00083487,21.06110064
AAAS,28.87771456,29.79573923,29.63304832,29.57886509,29.90066724,30.77250381,30.07405859,30.12114607,30.43579169,30.22527011,30.78737144,30.62217772,29.6995047,30.08448715,29.96209777,30.2681867,26.77303857,23.09205095,23.10722719,25.25245033,29.54369987,29.95296501,29.81615123,29.6990413
AACS,22.23680893,24.43809435,27.74618308,22.07825637,23.39675946,25.40343884,23.22093091,25.57873915,23.9461024,21.21080606,27.97278964,23.77193109,28.99118343,28.37090081,29.33619925,29.89369821,27.484545,28.08603229,22.88393643,24.31146673,26.20004039,28.60995744,26.24557621,29.03475145
AAED1,23.14521646,23.58290734,22.27619618,21.82553889,21.9469234,23.46628205,21.4867485,23.00393423,20.9909675,21.03033463,22.81442875,20.86336439,19.50883555,21.63116505,21.94478641,21.30761496,20.77160967,23.2961665,23.24602818,22.41711135,22.92178524,22.23799341,22.1107488,24.39545255
AAGAB,25.28252543,24.48744606,24.73531224,25.29295094,25.04176475,21.78906087,24.57755837,25.16614653,25.95947457,26.27205963,27.59541127,25.74806588,27.40007043,27.01871313,26.38083279,26.30591256,24.1779438,21.33090526,22.83136251,21.33050976,26.38954036,26.83954078,27.01062661,27.73679653
AAK1,26.05405493,21.52751182,25.90145581,20.70213578,32.12638697,32.11063792,31.71722537,32.34815501,31.89019378,31.65940396,32.48728409,31.62897058,26.83966091,26.61175225,26.91775193,25.24401593,29.48755723,29.04286076,28.76265409,28.82049443,29.7783596,29.28515652,29.22556892,29.78715345
AAMDC,27.67633515,27.47072738,26.86561322,28.11460839,27.7050375,28.59010141,26.74547799,27.39892957,23.12178696,26.68658965,25.07091527,27.47057224,27.90867673,27.93814711,27.80495116,29.5380293,27.22250897,29.21185217,28.62156654,28.56735923,28.96622999,28.71069694,28.09128857,28.84335002
AAMP,29.62475929,27.85090865,27.7598955,28.34367261,28.61862926,28.64965615,28.40190206,28.52372657,27.79897088,28.82523414,27.18110872,28.94422104,27.55764261,28.31354405,27.79426791,28.46874814,30.2475106,29.81207044,28.94243231,29.68852512,29.08276274,28.58495109,29.40175969,29.04265206
AAR2,25.31492726,25.01962534,25.33459764,25.31503095,27.15122113,25.84663527,27.31189975,27.04333023,27.56267285,26.61708829,28.19281729,26.34707374,27.12386138,27.56485446,27.67418117,26.67424853,22.73098806,23.50801863,20.26888769,21.13764217,26.90311212,26.73078542,27.43555327,28.23753909
AARS,32.31602857,31.6405231,31.45718725,31.94461203,32.77144157,32.79007416,32.54915082,32.85285166,32.67820885,32.67659156,33.22460907,32.41664313,32.36726487,32.19507253,32.26097251,32.54533502,30.50946941,29.83231464,29.31900435,29.92521463,31.74414701,32.47099398,31.89015753,32.44667702
AARS2,29.51987095,29.97801052,29.87573888,30.33020539,30.2228544,30.14455124,30.48096821,29.87348183,30.76089491,30.51859595,30.96547331,30.15761944,29.51758265,29.70612504,29.63303099,29.6628876,27.75002293,26.98489716,27.98098152,27.38681358,29.96195983,28.68471845,30.45669782,29.30604298
AARSD1,28.74570238,28.55957659,28.4854666,29.14659186,29.17804792,28.94458411,28.65464925,28.97781951,29.28960432,29.00755571,29.52621042,29.26284384,29.2349612,28.9936417,29.07834088,29.36713466,26.28238402,22.73836005,22.50396196,22.45371167,26.68324652,27.53875091,26.0934764,27.39746143
AASDHPPT,29.09436269,29.34671877,28.37393155,29.20109269,29.68137097,29.58278175,28.78640579,29.26611003,29.78345813,29.13941263,30.49209248,29.50705109,30.30421601,29.87258682,30.38535362,30.27553151,23.16363064,29.55374854,29.76837638,29.14947781,28.84900032,29.40786924,28.43193246,29.16374963
AASS,28.13065194,29.52172518,28.47900297,28.21660082,26.98359313,27.56848315,28.07050588,29.84198645,26.74278269,22.07450114,27.33662492,28.50472341,27.52439931,27.85727135,27.59213501,27.80839244,27.5848436,22.60789386,22.9087711,22.29708397,23.03535026,20.38731499,25.55206701,22.4295643
AATF,29.11329232,28.71574534,29.41088402,29.85459887,29.62813626,30.16302978,30.07239834,29.77369888,30.93445389,30.67917416,31.17289634,30.13332494,27.44647983,27.78431653,28.09310359,27.2984153,30.29603157,28.84977589,31.8088527,27.18848487,27.61189293,22.78088235,24.3261513,22.19762504
AATK,22.65091516,23.33452266,25.02152233,22.50115795,20.20693427,22.87197524,21.88564994,20.65881044,21.6497339,21.49415098,21.83068591,23.29388621,23.0945453,22.03390984,21.27622548,21.23019281,21.31840668,20.71325431,22.42692554,18.93700914,21.89897022,21.54479149,23.13599319,21.6444558
ABAT,30.39018024,28.79135181,28.22921855,30.05180645,26.89862187,27.56645221,28.68952521,27.32242538,27.06620024,27.25493864,28.20256463,27.93049742,26.42638416,26.05678571,24.68029814,25.01363243,27.22719977,26.25740468,27.30591256,27.15228546,25.4432896,23.28121692,25.88550889,25.69184275
ABCA1,28.65372717,27.55068808,25.25598317,27.8307442,26.77077236,20.88310527,25.67457181,26.50326055,21.27291284,24.6428432,23.66633237,22.34578614,21.59167921,24.15034974,21.46728639,21.86329926,25.83576362,25.43815782,25.92041228,27.13994926,28.07280719,29.78305216,28.45100826,24.70440437
ABCA13,27.90328455,29.90884849,28.9294537,29.35844131,30.06548138,22.64242702,28.00040058,29.32046843,26.88704412,26.76951181,29.20943712,28.90750249,29.57846924,29.13521022,29.77034705,31.93498107,27.04531074,26.76597641,27.5380108,27.51698184,25.35981148,24.2617684,27.08263586,26.07875314
ABCA7,22.22248014,21.94598768,21.86079177,20.71380311,20.89593171,23.39041752,25.5486907,20.45676014,24.59457155,22.38583261,26.04044843,21.07200116,21.19673487,26.97278964,27.80452042,27.77856326,24.0516016,27.53978642,23.90922921,23.36826346,26.66979597,30.87085393,22.46344811,22.47390125
ABCB1,28.52428721,29.25029213,30.34826056,29.86779425,25.51929359,26.81029391,22.40145324,25.38942548,27.75531793,27.09345625,28.33551793,27.84014133,24.89938274,23.75521604,25.89929053,24.78910176,27.82480942,26.39814675,26.36217166,23.20948478,22.98341157,23.20048199,21.23993889,24.68099557
ABCB10,27.44055175,27.97443175,28.95795368,28.08926919,27.0305481,26.89619824,27.6243584,26.94815403,27.87841637,27.02686009,27.89371267,28.12410798,28.79720906,28.65201806,28.78041056,28.55720436,27.74618308,26.12068149,27.78356741,26.06685717,29.39507251,29.94907297,29.86880996,28.93224467
ABCB6,24.90894009,24.61262422,23.02185119,24.52659475,25.91820704,23.75711644,26.29209087,22.15870863,18.87373717,20.70077428,25.67476037,26.80205659,24.58966577,26.20866065,25.65515443,25.6345308,27.81689888,21.23812237,24.0785305,28.18281426,26.4020729,21.84960608,21.7979876,23.42718719
ABCB7,29.78593831,30.66186887,30.53055154,30.49037191,30.4019224,30.40425941,30.54692233,30.22170264,30.59530455,30.43221131,30.55809897,30.409428,29.93255445,30.19565925,29.58888702,29.46236503,25.98102509,28.19394535,28.05486229,28.41739788,30.48663696,30.20373176,30.73473101,29.28341329
ABCB8,25.30931703,26.68083465,27.51412457,25.84718507,26.88413511,26.75671817,27.0431216,26.85934653,27.30391129,27.74355329,28.08156966,26.57600172,28.31021024,28.17283675,27.40819328,27.78531477,26.08206732,22.65287667,27.67370955,21.06457361,27.18177223,28.86342888,27.28753626,27.03012709
ABCC1,25.27629056,27.76932263,27.17930624,27.72168895,29.0454149,29.11671656,29.16655361,29.07984176,29.31617966,29.2953748,29.41409421,28.94307539,28.30186365,29.39807334,28.78624998,28.204245,28.63481465,28.08334622,26.78730916,26.46380759,28.76407888,28.62557815,29.45210868,29.53814034
ABCC10,21.00485491,21.29679356,22.76505039,22.08342854,22.82765363,21.44611117,25.68568108,25.306156,25.18910727,25.55403044,24.70961941,21.9457302,20.30669727,22.22945733,24.13531788,22.21801005,22.68453145,22.62148372,21.78236938,21.69767449,21.77272256,23.21365078,24.93440608,25.29172212
