Label,Population
B.naive_01,B.naive
B.naive_02,B.naive
B.naive_03,B.naive
B.naive_04,B.naive
T4.naive_01,T4.naive
T4.naive_02,T4.naive
T4.naive_03,T4.naive
T4.naive_04,T4.naive
T8.naive_01,T8.naive
T8.naive_02,T8.naive
T8.naive_03,T8.naive
T8.naive_04,T8.naive
pDC_01,pDC
pDC_02,pDC
pDC_03,pDC
pDC_04,pDC
Neutrophil_01,Neutrophil
Neutrophil_02,Neutrophil
Neutrophil_03,Neutrophil
Neutrophil_04,Neutrophil
MO.classical_01,MO.classical
MO.classical_02,MO.classical
MO.classical_03,MO.classical
MO.classical_04,MO.classical
